country,date,doing_business,gdppc
Austria,1963-01-01,,
Austria,1962-01-01,,
Austria,1961-01-01,,
Austria,1960-01-01,,
Belgium,2019-01-01,74.98904,
Belgium,2018-01-01,74.74503,43582.1283959571
Belgium,2017-01-01,72.18146,43132.8055365392
Belgium,2016-01-01,72.4092,42465.1875100572
Belgium,2015-01-01,72.42806,42045.3836218243
Belgium,2014-01-01,,41447.1873814025
Belgium,2013-01-01,,40984.6405257382
Belgium,2012-01-01,,40990.0358237848
Belgium,2011-01-01,,40942.372710454
Belgium,2010-01-01,,40787.3732159277
Belgium,2009-01-01,,40015.5701527226
Belgium,2008-01-01,,41170.7826385585
Belgium,2007-01-01,,41312.6771475
Belgium,2006-01-01,,40141.2061493839
Belgium,2005-01-01,,39401.1783406808
Belgium,2004-01-01,,38719.5379433358
Belgium,2003-01-01,,37546.6127316428
Belgium,2002-01-01,,37316.7970845537
Belgium,2001-01-01,,36855.3718243493
Belgium,2000-01-01,,36580.1137148437
Belgium,1999-01-01,,35354.9069829311
Belgium,1998-01-01,,34223.579038195
Belgium,1997-01-01,,33636.832824027
Belgium,1996-01-01,,32485.9290211133
Belgium,1995-01-01,,32124.9421632518
Belgium,1994-01-01,,31442.4676190327
Belgium,1993-01-01,,30553.5669781062
Belgium,1992-01-01,,30971.0566643737
Belgium,1991-01-01,,30628.154337697
Belgium,1990-01-01,,30188.7951481243
Belgium,1989-01-01,,
Belgium,1988-01-01,,
Belgium,1987-01-01,,
Belgium,1986-01-01,,
Belgium,1985-01-01,,
Belgium,1984-01-01,,
Belgium,1983-01-01,,
Belgium,1982-01-01,,
Belgium,1981-01-01,,
Belgium,1980-01-01,,
Belgium,1979-01-01,,
Belgium,1978-01-01,,
Belgium,1977-01-01,,
Belgium,1976-01-01,,
Belgium,1975-01-01,,
Belgium,1974-01-01,,
Belgium,1973-01-01,,
Belgium,1972-01-01,,
Belgium,1971-01-01,,
Belgium,1970-01-01,,
Belgium,1969-01-01,,
Belgium,1968-01-01,,
Belgium,1967-01-01,,
Belgium,1966-01-01,,
Belgium,1965-01-01,,
Belgium,1964-01-01,,
Belgium,1963-01-01,,
Belgium,1962-01-01,,
Belgium,1961-01-01,,
Belgium,1960-01-01,,
Bahrain,2019-01-01,76.02665,
Bahrain,2018-01-01,70.13951,41973.112933757
Bahrain,2017-01-01,69.09366,43320.656139557
Bahrain,2016-01-01,68.7147,43731.983424014
Bahrain,2015-01-01,66.6415,43925.7201828869
Bahrain,2014-01-01,,43846.5685541003
Bahrain,2013-01-01,,42691.1094352072
Bahrain,2012-01-01,,40967.4083486514
Bahrain,2011-01-01,,40168.3278932788
Bahrain,2010-01-01,,40570.7612040579
Bahrain,2009-01-01,,40714.8017281235
Bahrain,2008-01-01,,42215.1190747494
Bahrain,2007-01-01,,42754.4835207745
Bahrain,2006-01-01,,42672.5174642962
Bahrain,2005-01-01,,43202.2472611104
Bahrain,2004-01-01,,43355.7381178465
Bahrain,2003-01-01,,43187.8826912296
Bahrain,2002-01-01,,43037.2212818862
Bahrain,2001-01-01,,43887.536236615
Bahrain,2000-01-01,,44942.8278713412
Bahrain,1999-01-01,,44562.8417974461
Bahrain,1998-01-01,,44315.8244115239
Bahrain,1997-01-01,,43624.303392291
Bahrain,1996-01-01,,43504.8786575437
Bahrain,1995-01-01,,42897.0801137669
Bahrain,1994-01-01,,42334.9716311219
Bahrain,1993-01-01,,43499.5492315483
Bahrain,1992-01-01,,39506.4510924844
Bahrain,1991-01-01,,37997.2050321247
Bahrain,1990-01-01,,35113.5078392167
Bahrain,1989-01-01,,
Bahrain,1988-01-01,,
Bahrain,1987-01-01,,
Bahrain,1986-01-01,,
Bahrain,1985-01-01,,
Bahrain,1984-01-01,,
Bahrain,1983-01-01,,
Bahrain,1982-01-01,,
Bahrain,1981-01-01,,
Bahrain,1980-01-01,,
Bahrain,1979-01-01,,
Bahrain,1978-01-01,,
Bahrain,1977-01-01,,
Bahrain,1976-01-01,,
Bahrain,1975-01-01,,
Bahrain,1974-01-01,,
Bahrain,1973-01-01,,
Bahrain,1972-01-01,,
Bahrain,1971-01-01,,
Bahrain,1970-01-01,,
Bahrain,1969-01-01,,
Bahrain,1968-01-01,,
Bahrain,1967-01-01,,
Bahrain,1966-01-01,,
Bahrain,1965-01-01,,
Bahrain,1964-01-01,,
Bahrain,1963-01-01,,
Bahrain,1962-01-01,,
Bahrain,1961-01-01,,
Bahrain,1960-01-01,,
"Bahamas, The",2019-01-01,59.87155,
"Bahamas, The",2018-01-01,59.38844,28472.2004633762
"Bahamas, The",2017-01-01,58.61968,28318.1074283424
"Bahamas, The",2016-01-01,56.94715,28586.0299456597
"Bahamas, The",2015-01-01,57.10881,28742.3229678975
"Bahamas, The",2014-01-01,,28847.0235756914
"Bahamas, The",2013-01-01,,28906.3486795299
"Bahamas, The",2012-01-01,,30079.2591725046
"Bahamas, The",2011-01-01,,29503.7080684624
"Bahamas, The",2010-01-01,,29706.9085147558
"Bahamas, The",2009-01-01,,29703.4249165462
"Bahamas, The",2008-01-01,,31531.871633751
"Bahamas, The",2007-01-01,,32884.1288424016
"Bahamas, The",2006-01-01,,33037.6167730227
"Bahamas, The",2005-01-01,,32838.9943043302
"Bahamas, The",2004-01-01,,32354.6996224201
"Bahamas, The",2003-01-01,,32662.026721545
"Bahamas, The",2002-01-01,,33668.4424988705
"Bahamas, The",2001-01-01,,33328.0245285838
"Bahamas, The",2000-01-01,,32972.9406359751
"Bahamas, The",1999-01-01,,32088.7824995024
"Bahamas, The",1998-01-01,,30306.2847016489
"Bahamas, The",1997-01-01,,29267.4906697163
"Bahamas, The",1996-01-01,,29017.4330110787
"Bahamas, The",1995-01-01,,28218.5422989711
"Bahamas, The",1994-01-01,,27459.9103809806
"Bahamas, The",1993-01-01,,27090.7660552441
